Area,Country,In_operation
ASIA-PACIFIC,CHINA,37848 
EUROPE,SPAIN,3487 
ASIA-PACIFIC,JAPAN (SHINKANSEN SYSTEM),3041 
EUROPE,FRANCE,2735 
EUROPE,GERMANY,1571 
EUROPE,FINLAND,1120 
EUROPE,ITALY,921 
ASIA-PACIFIC,SOUTH KOREA,893 
EUROPE,SWEDEN,860 
NORTH AMERICA,USA,735 
MIDDLE EAST,TURKEY,724 
MIDDLE EAST,SAUDI ARABIA,449 
ASIA-PACIFIC,TAIWAN,345 
EUROPE,AUSTRIA,254 
EUROPE,POLAND,224 
EUROPE,BELGIUM,209 
AFRICA,MOROCCO,186 
EUROPE,SWITZERLAND,178 
EUROPE,UNITED KINGDOM,113 
EUROPE,THE NETHERLANDS,90 
EUROPE,DENMARK,56 
